PRELIMINARY*********************************************************************
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
Cite Lemmon et al. [2019]
Generated: Tue Sep 21 16:29:08 2021
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1459
PRELIMINARY*********************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma, tau_noon
0169ML0009080030104676C00_DXXX, 169.6138, 252.6, 1.146, 0.036, 1.161
0171ML0009130030104792C00_DXXX, 171.4912, 253.8, 1.100, 0.036, 1.099
0172ML0009300030104991C00_DXXX, 172.7009, 254.6, 1.057, 0.037, 1.081
0174ML0009390030105186C00_DXXX, 174.6967, 255.9, 1.013, 0.036, 1.036
0183ML0009990030105281C00_DXXX, 183.4788, 261.6, 0.949, 0.036, 0.947
0183ML0009980030105295C00_DXXX, 183.6869, 261.8, 0.953, 0.036, 0.976
0188ML0010120030105621C00_DXXX, 188.4701, 264.9, 0.856, 0.036, 0.852
0192ML0010200030105678C00_DXXX, 192.4755, 267.5, 0.892, 0.036, 0.889
0192ML0010210030105850C00_DXXX, 192.6729, 267.6, 0.880, 0.036, 0.901
0198ML0010440030106033C00_DXXX, 198.3618, 271.3, 0.962, 0.036, 0.944
0226ML0010890030106050C00_DXXX, 226.4927, 289.2, 0.746, 0.036, 0.745
0226ML0010930030106067C00_DXXX, 226.6154, 289.3, 0.739, 0.036, 0.754
0233ML0011100030106103C00_DXXX, 233.5120, 293.6, 0.710, 0.036, 0.712
0233ML0011090030106106C00_DXXX, 233.5904, 293.7, 0.738, 0.036, 0.750
0267ML0011680030106109C00_DXXX, 267.5400, 314.3, 1.017, 0.037, 1.022
0270ML0011840030106133C00_DXXX, 270.3203, 316.0, 1.401, 0.038, 1.379
0270ML0011850030106136C00_DXXX, 270.4411, 316.0, 1.223, 0.037, 1.216
0275ML0011970030106206C00_DXXX, 275.4979, 319.0, 1.112, 0.037, 1.112
0280ML0011990030106219C00_DXXX, 280.4249, 321.9, 1.058, 0.036, 1.048
0280ML0012000030106222C00_DXXX, 280.5744, 322.0, 1.081, 0.036, 1.091
0284ML0012120030106280C00_DXXX, 284.5489, 324.3, 1.040, 0.037, 1.046
0284ML0012130030106283C00_DXXX, 284.6744, 324.3, 0.990, 0.036, 1.012
0290ML0012220030106369C00_DXXX, 290.5293, 327.7, 0.988, 0.037, 0.992
0295ML0012360030106383C00_DXXX, 295.4477, 330.5, 0.961, 0.037, 0.955
0295ML0012370030106386C00_DXXX, 295.5816, 330.5, 0.980, 0.037, 0.990
0300ML0012490030106429C00_DXXX, 300.4679, 333.3, 0.879, 0.037, 0.875
0307ML0012700030106598C00_DXXX, 307.4542, 337.2, 0.879, 0.037, 0.874
0307ML0012710030106602C00_DXXX, 307.6255, 337.3, 0.896, 0.036, 0.912
0312ML0012840030106783C00_DXXX, 312.7063, 340.1, 0.973, 0.036, 0.996
0314ML0012890030107105C00_DXXX, 314.6130, 341.1, 0.951, 0.037, 0.965
0320ML0013090030107745C00_DXXX, 320.5691, 344.3, 0.880, 0.036, 0.889
0320ML0013100030107783C00_DXXX, 320.7122, 344.4, 0.868, 0.036, 0.891
0326ML0013210030107874C00_DXXX, 326.6435, 347.6, 0.829, 0.036, 0.847
0326ML0013220030107877C00_DXXX, 326.6713, 347.6, 0.825, 0.036, 0.846
0330ML0013370030107944C00_DXXX, 330.4944, 349.7, 0.749, 0.036, 0.749
0335ML0013540030108009C00_DXXX, 335.4613, 352.3, 0.725, 0.036, 0.720
0335ML0013550030108012C00_DXXX, 335.6425, 352.4, 0.726, 0.036, 0.744
0340ML0013780030108085C00_DXXX, 340.6180, 355.0, 0.754, 0.036, 0.769
0340ML0013790030108088C00_DXXX, 340.6880, 355.0, 0.713, 0.035, 0.737
0345ML0013980030108237C00_DXXX, 345.3463, 357.4, 0.832, 0.036, 0.812
0345ML0013990030108240C00_DXXX, 345.4170, 357.5, 0.809, 0.036, 0.798
0348ML0014120030108301C00_DXXX, 348.4199, 359.0, 0.809, 0.036, 0.799
0348ML0014130030108304C00_DXXX, 348.6979, 359.2, 0.742, 0.035, 0.765
0352ML0014410030108369C00_DXXX, 352.4911,   1.1, 0.807, 0.036, 0.806
0352ML0014430030108478C00_DXXX, 352.6719,   1.2, 0.811, 0.035, 0.832
0356ML0014540030108507C00_DXXX, 356.6618,   3.2, 0.777, 0.036, 0.797
0360ML0014700030108541C00_DXXX, 360.4821,   5.2, 0.792, 0.037, 0.790
0365ML0014870030108662C00_DXXX, 365.5394,   7.7, 0.790, 0.036, 0.795
0369ML0015070030108695C00_DXXX, 369.6526,   9.8, 0.798, 0.036, 0.817
0369ML0015080030108698C00_DXXX, 369.6837,   9.8, 0.794, 0.035, 0.817
0374ML0015420030200001C00_DXXX, 374.4434,  12.1, 0.725, 0.036, 0.718
0406ML0016820020200867D01_DXXX, 406.5908,  27.7, 0.659, 0.036, 0.670
0406ML0016820030200868D01_DXXX, 406.5909,  27.7, 0.664, 0.036, 0.675
0410ML0016950020201009D01_DXXX, 410.6404,  29.6, 0.649, 0.036, 0.666
0410ML0016950030201010D01_DXXX, 410.6405,  29.6, 0.656, 0.036, 0.674
0425ML0017370020201233D01_DXXX, 425.4911,  36.5, 0.651, 0.037, 0.650
0425ML0017370030201234D01_DXXX, 425.4911,  36.5, 0.637, 0.037, 0.636
0425ML0017380020201339D01_DXXX, 425.6756,  36.6, 0.657, 0.035, 0.679
0425ML0017380030201340D01_DXXX, 425.6757,  36.6, 0.661, 0.035, 0.683
0438ML0017820020201628D01_DXXX, 438.6013,  42.6, 0.646, 0.036, 0.659
0438ML0017820030201629D01_DXXX, 438.6014,  42.6, 0.652, 0.036, 0.665
0453ML0018290020201909D01_DXXX, 453.6195,  49.5, 0.551, 0.036, 0.566
0453ML0018290030201910D01_DXXX, 453.6197,  49.5, 0.557, 0.036, 0.572
0467ML0018610020201981D01_DXXX, 467.4952,  55.8, 0.460, 0.088, 0.459
0467ML0018610030201982D01_DXXX, 467.4953,  55.8, 0.452, 0.088, 0.452
0467ML0018620020201985D01_DXXX, 467.6527,  55.8, 0.444, 0.035, 0.463
0467ML0018620030201986D01_DXXX, 467.6528,  55.8, 0.448, 0.035, 0.468
0473ML0018780020202160D01_DXXX, 473.5293,  58.5, 0.482, 0.054, 0.485
0473ML0018780030202161D01_DXXX, 473.5294,  58.5, 0.477, 0.056, 0.481
0478ML0018960020202226D01_DXXX, 478.4596,  60.7, 0.452, 0.068, 0.447
0478ML0018960030202227D01_DXXX, 478.4597,  60.7, 0.438, 0.075, 0.433
0486ML0019170020202259D01_DXXX, 486.6182,  64.4, 0.460, 0.036, 0.475
0486ML0019170030202260D01_DXXX, 486.6183,  64.4, 0.467, 0.036, 0.482
0487ML0019320030202309C00_DXXX, 487.6790,  64.8, 0.429, 0.035, 0.451
0489ML0019460030202382D01_DXXX, 489.6526,  65.7, 0.452, 0.035, 0.471
0492ML0019520030202485D01_DXXX, 492.5465,  67.0, 0.468, 0.050, 0.474
0493ML0019570030202492D01_DXXX, 493.3135,  67.4, 0.452, 0.035, 0.428
0502ML0019680030202660D01_DXXX, 502.4928,  71.5, 0.481, 0.053, 0.480
0502ML0019770030202688D01_DXXX, 502.6740,  71.6, 0.457, 0.035, 0.479
0509ML0020030030202803D01_DXXX, 509.5818,  74.7, 0.443, 0.036, 0.453
0516ML0020330030202987D01_DXXX, 516.5322,  77.8, 0.408, 0.036, 0.412
0525ML0020700030203139D01_DXXX, 525.6183,  81.9, 0.412, 0.036, 0.427
0530ML0020990030203298D01_DXXX, 530.4763,  84.0, 0.427, 0.036, 0.424
0530ML0021040030203316D01_DXXX, 530.6117,  84.1, 0.415, 0.036, 0.429
0539ML0021280030203555D01_DXXX, 539.5573,  88.1, 0.435, 0.036, 0.442
0543ML0021480030203968D01_DXXX, 543.3101,  89.9, 0.462, 0.035, 0.439
0543ML0021490030203971D01_DXXX, 543.4652,  89.9, 0.435, 0.036, 0.430
0551ML0022280030204309D01_DXXX, 551.4937,  93.6, 0.413, 0.036, 0.412
0558ML0022560030204579D01_DXXX, 558.5410,  96.8, 0.452, 0.036, 0.457
0564ML0022860030204679D01_DXXX, 564.6659,  99.6, 0.434, 0.035, 0.455
0573ML0023200030205003D01_DXXX, 573.5202, 103.7, 0.413, 0.036, 0.416
0581ML0024320030300296D01_DXXX, 581.6545, 107.5, 0.435, 0.035, 0.454
0582ML0024360030300333D01_DXXX, 582.7026, 108.0, 0.479, 0.035, 0.502
0583ML0024380030300380D01_DXXX, 583.6577, 108.4, 0.463, 0.035, 0.483
0589ML0024720030300588D01_DXXX, 589.4675, 111.1, 0.434, 0.036, 0.430
0589ML0024750030300596D01_DXXX, 589.6309, 111.2, 0.427, 0.036, 0.444
0590ML0024800030300626D01_DXXX, 590.5707, 111.6, 0.388, 0.036, 0.396
0597ML0025150030301171D01_DXXX, 597.4733, 114.9, 0.383, 0.036, 0.380
0604ML0025490030301399D01_DXXX, 604.4703, 118.2, 0.409, 0.036, 0.406
0607ML0025620030301512D01_DXXX, 607.5360, 119.7, 0.349, 0.036, 0.353
0611ML0025700030301715D01_DXXX, 611.4731, 121.6, 0.374, 0.036, 0.371
0617ML0026420030302028D01_DXXX, 617.6843, 124.6, 0.329, 0.035, 0.352
0626ML0026750030302382D01_DXXX, 626.5004, 128.9, 0.358, 0.036, 0.358
0627ML0026800030302399D01_DXXX, 627.6872, 129.5, 0.356, 0.035, 0.379
0628ML0022550030302403D01_DXXX, 628.6115, 130.0, 0.332, 0.036, 0.346
0628ML0022550050302404D01_DXXX, 628.6118, 130.0, 0.347, 0.036, 0.361
0628ML0022820030302405D01_DXXX, 628.6259, 130.0, 0.334, 0.036, 0.350
0628ML0022820050302406D01_DXXX, 628.6261, 130.0, 0.346, 0.036, 0.362
0631ML0026120030302554D01_DXXX, 631.6326, 131.5, 0.338, 0.036, 0.354
0633ML0026180030302609D01_DXXX, 633.6802, 132.5, 0.408, 0.035, 0.430
0639ML0027150030302734D01_DXXX, 639.4712, 135.4, 0.338, 0.036, 0.334
0645ML0027450030302858D01_DXXX, 645.4765, 138.4, 0.351, 0.036, 0.348
0647ML0022830030302901I01_DXXX, 647.5422, 139.5, 0.387, 0.038, 0.393
0647ML0022830050302902D01_DXXX, 647.5425, 139.5, 0.384, 0.036, 0.389
0647ML0023300030302903I01_DXXX, 647.5566, 139.5, 0.377, 0.038, 0.384
0647ML0023300050302904D01_DXXX, 647.5568, 139.5, 0.383, 0.036, 0.390
0647ML0023310030302905I01_DXXX, 647.5858, 139.5, 0.370, 0.038, 0.381
0647ML0023310050302906D01_DXXX, 647.5860, 139.5, 0.387, 0.036, 0.397
0650ML0027580030303064D01_DXXX, 650.6392, 141.0, 0.491, 0.036, 0.509
0652ML0027640030303100D01_DXXX, 652.5378, 142.0, 0.428, 0.036, 0.432
0657ML0027850030303154D01_DXXX, 657.6967, 144.7, 0.500, 0.035, 0.523
0659ML0027960030303168D01_DXXX, 659.6379, 145.7, 0.626, 0.036, 0.643
0661ML0028080030303344D01_DXXX, 661.6194, 146.7, 0.729, 0.036, 0.744
0665ML0028290030303548D01_DXXX, 665.4942, 148.7, 0.822, 0.037, 0.821
0665ML0028350030303572D01_DXXX, 665.6904, 148.8, 0.836, 0.035, 0.860
0668ML0028450030303635D01_DXXX, 668.6696, 150.4, 0.709, 0.035, 0.730
0672ML0028630030303680D01_DXXX, 672.6705, 152.5, 0.674, 0.035, 0.695
0685ML0028940030304008D01_DXXX, 685.4900, 159.4, 0.714, 0.036, 0.713
0696ML0029470030304182D01_DXXX, 696.6353, 165.5, 0.827, 0.036, 0.844
0701ML0029600030304322D01_DXXX, 701.5411, 168.2, 0.795, 0.037, 0.800
0707ML0030000030304609D01_DXXX, 707.5386, 171.6, 0.863, 0.037, 0.867
0713ML0030210010304741D01_DXXX, 713.2997, 174.8, 0.841, 0.035, 0.817
0718ML0030480030304870D01_DXXX, 718.4740, 177.8, 0.751, 0.036, 0.747
0718ML0030490030304874D01_DXXX, 718.6757, 177.9, 0.688, 0.036, 0.710
0725ML0030930030305022D01_DXXX, 725.5442, 181.9, 0.768, 0.037, 0.773
0730ML0031280030305138D01_DXXX, 730.5347, 184.8, 0.714, 0.037, 0.719
0732ML0031400030205196D01_DXXX, 732.6652, 186.1, 0.758, 0.036, 0.779
0732ML0031420030205217D01_DXXX, 732.7363, 186.1, 0.693, 0.035, 0.716
0734ML0031490030205238D01_DXXX, 734.5300, 187.2, 0.724, 0.037, 0.728
0741ML0031760030205523D01_DXXX, 741.4744, 191.3, 0.752, 0.036, 0.749
0745ML0032020030205756D01_DXXX, 745.4742, 193.7, 0.759, 0.037, 0.756
0752ML0032330030206244D01_DXXX, 752.6221, 198.0, 0.815, 0.037, 0.830
0754ML0032380030400032D01_DXXX, 754.4738, 199.2, 0.744, 0.037, 0.741
0758ML0032670030400083D01_DXXX, 758.6628, 201.7, 0.755, 0.036, 0.775
0766ML0032940030400112D01_DXXX, 766.5379, 206.6, 0.917, 0.038, 0.922
0776ML0033550030400181D01_DXXX, 776.4712, 212.8, 0.907, 0.036, 0.903
0779ML0033870030400255D01_DXXX, 779.4711, 214.7, 0.890, 0.036, 0.886
0781ML0034070030400326D01_DXXX, 781.4707, 216.0, 1.031, 0.037, 1.027
0786ML0034240030400446D01_DXXX, 786.3155, 219.0, 1.425, 0.037, 1.402
0786ML0034260030400450D01_DXXX, 786.5850, 219.2, 1.241, 0.037, 1.252
0788ML0034360030400504D01_DXXX, 788.7109, 220.5, 1.404, 0.063, 1.427
0793ML0034610030400630D01_DXXX, 793.3025, 223.5, 1.388, 0.035, 1.365
0793ML0034620030400633D01_DXXX, 793.4886, 223.6, 1.363, 0.037, 1.362
0796ML0034750030400702D01_DXXX, 796.5568, 225.6, 1.481, 0.037, 1.488
0799ML0034940030400798D01_DXXX, 799.5067, 227.5, 1.514, 0.037, 1.515
0801ML0035020030400826D01_DXXX, 801.5786, 228.8, 1.506, 0.038, 1.516
0803ML0035160030400889D01_DXXX, 803.6974, 230.2, 1.436, 0.035, 1.460
0804ML0035190030400928D01_DXXX, 804.5008, 230.7, 1.454, 0.037, 1.455
0806ML0035280030400931D01_DXXX, 806.4721, 232.0, 1.394, 0.036, 1.391
0806ML0035360030400934D01_DXXX, 806.6807, 232.1, 1.371, 0.035, 1.394
0808ML0035430030400971D01_DXXX, 808.4628, 233.2, 1.473, 0.036, 1.468
0810ML0035620030400974D01_DXXX, 810.6548, 234.7, 1.408, 0.043, 1.428
0814ML0035850030401025D01_DXXX, 814.6348, 237.3, 1.293, 0.044, 1.310
0817ML0035980030401065D01_DXXX, 817.4767, 239.1, 1.204, 0.037, 1.201
0820ML0036140030401102D01_DXXX, 820.4721, 241.0, 1.302, 0.037, 1.299
0827ML0036340030401171D01_DXXX, 827.4882, 245.6, 1.266, 0.037, 1.264
0834ML0036700030401290D01_DXXX, 834.6443, 250.3, 1.013, 0.036, 1.031
0838ML0036840030401371D01_DXXX, 838.5498, 252.8, 1.123, 0.037, 1.130
0839ML0036850030401374D01_DXXX, 839.6199, 253.5, 1.123, 0.036, 1.138
0843ML0037490030401461D01_DXXX, 843.6770, 256.2, 1.087, 0.036, 1.109
0854ML0037750030401601D01_DXXX, 854.4679, 263.2, 1.388, 0.037, 1.384
0863ML0037970030401663D01_DXXX, 863.4746, 269.0, 0.944, 0.036, 0.940
0866ML0038050030401686D01_DXXX, 866.4404, 271.0, 0.876, 0.036, 0.869
0872ML0038190030401727D01_DXXX, 872.4573, 274.8, 0.926, 0.036, 0.921
0886ML0038590030401821D01_DXXX, 886.4344, 283.8, 0.873, 0.037, 0.865
0890ML0038800030401887D01_DXXX, 890.4258, 286.3, 0.782, 0.036, 0.773
0892ML0038870030401911D01_DXXX, 892.2987, 287.5, 0.994, 0.035, 0.971
0897ML0039390030401970D01_DXXX, 897.4265, 290.7, 0.795, 0.036, 0.785
0904ML0039550030402303D01_DXXX, 904.6547, 295.2, 0.753, 0.036, 0.772
0907ML0039710030402334D01_DXXX, 907.4344, 297.0, 0.757, 0.036, 0.749
0914ML0039980030402368D01_DXXX, 914.5210, 301.3, 0.794, 0.037, 0.796
0916ML0040240030402458D01_DXXX, 916.6561, 302.6, 0.726, 0.036, 0.746
0917ML0040310030402545D01_DXXX, 917.3383, 303.0, 0.944, 0.036, 0.924
0918ML0040320030402603D01_DXXX, 918.5178, 303.8, 0.779, 0.037, 0.782
0919ML0040360030402626D01_DXXX, 919.4227, 304.3, 0.776, 0.036, 0.767
0924ML0040550030402723D01_DXXX, 924.3239, 307.3, 0.919, 0.035, 0.897
0924ML0040600030402734D01_DXXX, 924.4656, 307.4, 0.762, 0.036, 0.757
0924ML0040640030402741D01_DXXX, 924.6763, 307.5, 0.747, 0.035, 0.769
0925ML0040650030402744D01_DXXX, 925.3235, 307.9, 0.882, 0.035, 0.860
0925ML0040660030402747D01_DXXX, 925.4720, 308.0, 0.760, 0.037, 0.756
0925ML0040690030402772D01_DXXX, 925.6982, 308.1, 0.760, 0.035, 0.784
0926ML0040710030402775D01_DXXX, 926.3370, 308.5, 0.818, 0.036, 0.798
0927ML0040760030402799D01_DXXX, 927.3511, 309.1, 0.832, 0.036, 0.813
0927ML0040770030402802D01_DXXX, 927.6589, 309.3, 0.684, 0.036, 0.704
0929ML0040830030402812D01_DXXX, 929.5090, 310.4, 0.682, 0.036, 0.684
0929ML0040880030402863D01_DXXX, 929.6684, 310.5, 0.710, 0.036, 0.731
0931ML0040910030402867D01_DXXX, 931.3225, 311.5, 0.872, 0.035, 0.850
0931ML0040950030402910D01_DXXX, 931.4854, 311.6, 0.743, 0.037, 0.741
0935ML0041050030402930D01_DXXX, 935.4837, 314.0, 0.803, 0.037, 0.801
0935ML0041060030402933D01_DXXX, 935.6215, 314.0, 0.710, 0.036, 0.725
0937ML0041150030402936D01_DXXX, 937.3076, 315.0, 0.944, 0.035, 0.920
0941ML0041380030403086D01_DXXX, 941.5221, 317.5, 0.910, 0.037, 0.912
0945ML0041520030403181D01_DXXX, 945.4660, 319.8, 0.984, 0.037, 0.979
0945ML0041550030403193D01_DXXX, 945.6172, 319.9, 1.009, 0.037, 1.024
0947ML0041620030403241D01_DXXX, 947.2878, 320.9, 0.922, 0.035, 0.899
0947ML0041630030403244D01_DXXX, 947.3223, 320.9, 0.936, 0.035, 0.914
0947ML0041640030403247D01_DXXX, 947.4633, 321.0, 0.919, 0.037, 0.915
0950ML0041780030403338D01_DXXX, 950.4310, 322.7, 0.927, 0.036, 0.918
0950ML0041800030403346D01_DXXX, 950.6985, 322.9, 0.843, 0.035, 0.867
0953ML0041970030403593D01_DXXX, 953.3480, 324.4, 0.892, 0.036, 0.873
0954ML0042180030403596D01_DXXX, 954.4565, 325.0, 0.849, 0.037, 0.844
0956ML0042270030403628D01_DXXX, 956.2860, 326.1, 0.953, 0.035, 0.929
0961ML0042500030403799D01_DXXX, 961.2961, 328.9, 0.942, 0.035, 0.918
0961ML0042510030403802D01_DXXX, 961.5070, 329.1, 0.865, 0.037, 0.866
0962ML0042540030403807D01_DXXX, 962.4164, 329.6, 0.877, 0.036, 0.866
0966ML0042800030403965D01_DXXX, 966.6503, 332.0, 0.965, 0.036, 0.984
0971ML0042870030404114D01_DXXX, 971.4566, 334.7, 1.244, 0.037, 1.238
0975ML0042950030404134D01_DXXX, 975.2996, 336.8, 1.329, 0.035, 1.306
0975ML0042970030404138D01_DXXX, 975.4311, 336.9, 1.203, 0.037, 1.194
0981ML0041670030404308D01_DXXX, 981.4122, 340.2, 1.196, 0.037, 1.185
0981ML0041670040404309D01_DXXX, 981.4124, 340.2, 1.199, 0.037, 1.188
0981ML0041670050404310D01_DXXX, 981.4125, 340.2, 1.191, 0.037, 1.180
0983ML0043360030404331D01_DXXX, 983.6767, 341.4, 1.076, 0.036, 1.099
0983ML0043360040404332D01_DXXX, 983.6768, 341.4, 1.077, 0.036, 1.099
0983ML0043360050404333D01_DXXX, 983.6769, 341.4, 1.076, 0.036, 1.098
0985ML0043480030404356D01_DXXX, 985.4911, 342.4, 1.087, 0.037, 1.086
0985ML0043480040404357D01_DXXX, 985.4913, 342.4, 1.097, 0.037, 1.095
0985ML0043480050404358D01_DXXX, 985.4914, 342.4, 1.100, 0.037, 1.099
0988ML0043660030404447D01_DXXX, 988.5413, 344.0, 1.064, 0.037, 1.069
0994ML0043860020404884D01_DXXX, 994.3223, 347.1, 1.115, 0.035, 1.092
0994ML0043870020404909D01_DXXX, 994.4948, 347.2, 1.115, 0.037, 1.115
0999ML0044270020405048D01_DXXX, 999.4561, 349.9, 1.012, 0.036, 1.007
1000ML0044410020405076D01_DXXX,1000.4635, 350.4, 1.022, 0.037, 1.018
1001ML0044420020305278D01_DXXX,1001.4552, 350.9, 0.987, 0.036, 0.981
1002ML0044430020305339D01_DXXX,1002.4972, 351.5, 0.958, 0.037, 0.958
1003ML0044660020305378D03_DXXX,1003.4758, 352.0, 0.968, 0.037, 0.965
1003ML0044840020305461D01_DXXX,1003.6650, 352.1, 0.915, 0.036, 0.936
1027ML0044900020305469D01_DXXX,1027.4840,   4.4, 0.950, 0.037, 0.948
1027ML0044930020305473D01_DXXX,1027.6190,   4.4, 0.929, 0.036, 0.944
1029ML0044950020305478D01_DXXX,1029.4961,   5.4, 0.905, 0.037, 0.904
1031ML0045020020305537D01_DXXX,1031.5923,   6.5, 0.936, 0.036, 0.948
1032ML0045080030305551D01_DXXX,1032.4978,   6.9, 0.921, 0.037, 0.921
1033ML0045220020305669D01_DXXX,1033.6329,   7.5, 0.936, 0.036, 0.953
1034ML0045230020305670D01_DXXX,1034.4314,   7.9, 0.922, 0.036, 0.913
1035ML0045340020305752D01_DXXX,1035.6323,   8.5, 0.898, 0.036, 0.915
1037ML0045440020305793D01_DXXX,1037.6016,   9.5, 0.924, 0.036, 0.937
1038ML0045450020305794D01_DXXX,1038.4519,   9.9, 0.935, 0.036, 0.929
1039ML0045480020305809D01_DXXX,1039.5264,  10.4, 0.928, 0.036, 0.931
1040ML0045510020305818D01_DXXX,1040.4357,  10.9, 0.887, 0.036, 0.879
1040ML0045520020305819D01_DXXX,1040.4771,  10.9, 0.890, 0.036, 0.887
1040ML0045530020305820D01_DXXX,1040.5187,  10.9, 0.889, 0.036, 0.892
1040ML0045540020305821D01_DXXX,1040.6228,  11.0, 0.858, 0.036, 0.873
1041ML0045560020305822D01_DXXX,1041.4282,  11.4, 0.862, 0.036, 0.853
1042ML0045680020305864D01_DXXX,1042.5944,  11.9, 0.839, 0.036, 0.851
1043ML0045700020305866D01_DXXX,1043.5212,  12.4, 0.835, 0.037, 0.838
1044ML0045670020305965D01_DXXX,1044.5021,  12.9, 0.840, 0.037, 0.840
1045ML0045780020305975D01_DXXX,1045.5660,  13.4, 0.834, 0.036, 0.842
1046ML0045990020306001D01_DXXX,1046.6166,  13.9, 0.853, 0.036, 0.867
1047ML0046010020306025D01_DXXX,1047.4633,  14.3, 0.845, 0.036, 0.840
1049ML0046160020306029D01_DXXX,1049.4976,  15.3, 0.816, 0.037, 0.816
1050ML0046210020306068D01_DXXX,1050.3148,  15.7, 0.798, 0.035, 0.774
1051ML0046130020306071D01_DXXX,1051.4321,  16.3, 0.809, 0.036, 0.801
1052ML0046280020306095D01_DXXX,1052.4296,  16.8, 0.814, 0.036, 0.805
1057ML0046460020306151D01_DXXX,1057.4882,  19.2, 0.813, 0.036, 0.811
1063ML0046770020306207D01_DXXX,1063.5497,  22.1, 0.747, 0.036, 0.753
